Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dragon,&&&&&&&&&&,monster,1,1,PRACTICE,???
2,+,infant,&&&&&&&&&&,baby,1,1,PRACTICE,???
3,+,storm,&&&&&&&&&&,cloud,1,1,PRACTICE,???
4,+,water,&&&&&&&&&&,sprinkler,1,1,PRACTICE,???
5,+,movie,&&&&&&&&&&,purpose,2,0,PRACTICE,ABSTRACT
6,+,tree,&&&&&&&&&&,sin,2,0,PRACTICE,ABSTRACT
7,+,brain,&&&&&&&&&&,idea,2,0,PRACTICE,ABSTRACT
8,+,rock,&&&&&&&&&&,envy,2,0,PRACTICE,ABSTRACT
9,+,truck,&&&&&&&&&&,car,1,1,TEST,VEHICLE
10,+,ambulance,&&&&&&&&&&,van,1,1,TEST,VEHICLE
11,+,airplane,&&&&&&&&&&,helicopter,1,1,TEST,VEHICLE
12,+,canoe,&&&&&&&&&&,sailboat,1,1,TEST,VEHICLE
13,+,plum,&&&&&&&&&&,bike,1,0,TEST,VEHICLE
14,+,rake,&&&&&&&&&&,motorcycle,1,0,TEST,VEHICLE
15,+,stork,&&&&&&&&&&,trolley,1,0,TEST,VEHICLE
16,+,belt,&&&&&&&&&&,taxi,1,0,TEST,VEHICLE
17,+,elephant,&&&&&&&&&&,giraffe,1,1,TEST,MAMMAL
18,+,cat,&&&&&&&&&&,dog,1,1,TEST,MAMMAL
19,+,zebra,&&&&&&&&&&,horse,1,1,TEST,MAMMAL
20,+,camel,&&&&&&&&&&,donkey,1,1,TEST,MAMMAL
21,+,scooter,&&&&&&&&&&,lion,1,0,TEST,MAMMAL
22,+,orange,&&&&&&&&&&,cow,1,0,TEST,MAMMAL
23,+,axe,&&&&&&&&&&,sheep,1,0,TEST,MAMMAL
24,+,raven,&&&&&&&&&&,raccoon,1,0,TEST,MAMMAL
25,+,sword,&&&&&&&&&&,knife,1,1,TEST,WEAPON
26,+,spear,&&&&&&&&&&,slingshot,1,1,TEST,WEAPON
27,+,grenade,&&&&&&&&&&,cannon,1,1,TEST,WEAPON
28,+,bat,&&&&&&&&&&,club,1,1,TEST,WEAPON
29,+,cheetah,&&&&&&&&&&,rifle,1,0,TEST,WEAPON
30,+,tractor,&&&&&&&&&&,bow,1,0,TEST,WEAPON
31,+,honeydew,&&&&&&&&&&,bomb,1,0,TEST,WEAPON
32,+,sledgehammer,&&&&&&&&&&,whip,1,0,TEST,WEAPON
33,+,carrot,&&&&&&&&&&,celery,1,1,TEST,VEGETABLE
34,+,cauliflower,&&&&&&&&&&,broccoli,1,1,TEST,VEGETABLE
35,+,cucumber,&&&&&&&&&&,radish,1,1,TEST,VEGETABLE
36,+,turnip,&&&&&&&&&&,potato,1,1,TEST,VEGETABLE
37,+,shotgun,&&&&&&&&&&,peas,1,0,TEST,VEGETABLE
38,+,buffalo,&&&&&&&&&&,onions,1,0,TEST,VEGETABLE
39,+,subway,&&&&&&&&&&,lettuce,1,0,TEST,VEGETABLE
40,+,cranberry,&&&&&&&&&&,pepper,1,0,TEST,VEGETABLE
41,+,vest,&&&&&&&&&&,jacket,1,1,TEST,CLOTHING
42,+,sandals,&&&&&&&&&&,slippers,1,1,TEST,CLOTHING
43,+,mittens,&&&&&&&&&&,scarf,1,1,TEST,CLOTHING
44,+,boots,&&&&&&&&&&,shoes,1,1,TEST,CLOTHING
45,+,asparagus,&&&&&&&&&&,sweater,1,0,TEST,CLOTHING
46,+,arrow,&&&&&&&&&&,coat,1,0,TEST,CLOTHING
47,+,lamb,&&&&&&&&&&,pants,1,0,TEST,CLOTHING
48,+,bus,&&&&&&&&&&,socks,1,0,TEST,CLOTHING
49,+,turkey,&&&&&&&&&&,chicken,1,1,TEST,BIRD
50,+,canary,&&&&&&&&&&,parakeet,1,1,TEST,BIRD
51,+,eagle,&&&&&&&&&&,hawk,1,1,TEST,BIRD
52,+,woodpecker,&&&&&&&&&&,peacock,1,1,TEST,BIRD
53,+,skirt,&&&&&&&&&&,duck,1,0,TEST,BIRD
54,+,garlic,&&&&&&&&&&,ostrich,1,0,TEST,BIRD
55,+,missile,&&&&&&&&&&,swan,1,0,TEST,BIRD
56,+,skunk,&&&&&&&&&&,crow,1,0,TEST,BIRD
57,+,shovel,&&&&&&&&&&,spade,1,1,TEST,TOOL
58,+,pliers,&&&&&&&&&&,wrench,1,1,TEST,TOOL
59,+,screws,&&&&&&&&&&,drill,1,1,TEST,TOOL
60,+,pencil,&&&&&&&&&&,scissors,1,1,TEST,TOOL
61,+,seagull,&&&&&&&&&&,hammer,1,0,TEST,TOOL
62,+,swimsuit,&&&&&&&&&&,hoe,1,0,TEST,TOOL
63,+,cabbage,&&&&&&&&&&,chisel,1,0,TEST,TOOL
64,+,hatchet,&&&&&&&&&&,crowbar,1,0,TEST,TOOL
65,+,banana,&&&&&&&&&&,strawberry,1,1,TEST,FRUIT
