Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dandelion,&&&&&&&&&&&&,tulip,1,1,PRACTICE,FLOWER
2,+,carnation,&&&&&&&&&&&&,rose,1,1,PRACTICE,FLOWER
3,+,microwave,&&&&&&&&&&&&,daisy,1,0,PRACTICE,FLOWER
4,+,backpack,&&&&&&&&&&&&,lily,1,0,PRACTICE,FLOWER
5,+,lizard,&&&&&&&&&&&&,snake,2,1,PRACTICE,REPTILE
6,+,worm,&&&&&&&&&&&&,caterpillar,2,1,PRACTICE,BUG
7,+,orchid,&&&&&&&&&&&&,toaster,2,0,PRACTICE,APPLIANCE
8,+,lilac,&&&&&&&&&&&&,suitcase,2,0,PRACTICE,BAG
9,+,banana,&&&&&&&&&&&&,car,1,0,VEHICLE,VEHICLE
10,+,pliers,&&&&&&&&&&&&,van,1,0,VEHICLE,VEHICLE
11,+,eagle,&&&&&&&&&&&&,helicopter,1,0,VEHICLE,VEHICLE
12,+,boots,&&&&&&&&&&&&,sailboat,1,0,VEHICLE,VEHICLE
13,+,scooter,&&&&&&&&&&&&,bike,1,1,VEHICLE,VEHICLE
14,+,tractor,&&&&&&&&&&&&,motorcycle,1,1,VEHICLE,VEHICLE
15,+,subway,&&&&&&&&&&&&,trolley,1,1,VEHICLE,VEHICLE
16,+,bus,&&&&&&&&&&&&,taxi,1,1,VEHICLE,VEHICLE
17,+,snowmobile,&&&&&&&&&&&&,nectarine,2,0,VEHICLE,FRUIT
18,+,yacht,&&&&&&&&&&&&,chainsaw,2,0,VEHICLE,TOOL
19,+,hovercraft,&&&&&&&&&&&&,bluejay,2,0,VEHICLE,BIRD
20,+,jet,&&&&&&&&&&&&,pajamas,2,0,VEHICLE,CLOTHING
21,+,grapes,&&&&&&&&&&&&,raisin,2,1,VEHICLE,FRUIT
22,+,sandpaper,&&&&&&&&&&&&,saw,2,1,VEHICLE,TOOL
23,+,dove ,&&&&&&&&&&&&,pigeon,2,1,VEHICLE,BIRD
24,+,robe,&&&&&&&&&&&&,dress,2,1,VEHICLE,CLOTHING
25,+,truck,&&&&&&&&&&&&,giraffe,1,0,MAMMAL,MAMMAL
26,+,lime,&&&&&&&&&&&&,dog,1,0,MAMMAL,MAMMAL
27,+,screws,&&&&&&&&&&&&,horse,1,0,MAMMAL,MAMMAL
28,+,woodpecker,&&&&&&&&&&&&,donkey,1,0,MAMMAL,MAMMAL
29,+,cheetah,&&&&&&&&&&&&,lion,1,1,MAMMAL,MAMMAL
30,+,buffalo,&&&&&&&&&&&&,cow,1,1,MAMMAL,MAMMAL
31,+,lamb,&&&&&&&&&&&&,sheep,1,1,MAMMAL,MAMMAL
32,+,skunk,&&&&&&&&&&&&,raccoon,1,1,MAMMAL,MAMMAL
33,+,monkey,&&&&&&&&&&&&,sleigh,2,0,MAMMAL,VEHICLE
34,+,hamster,&&&&&&&&&&&&,apricot,2,0,MAMMAL,FRUIT
35,+,otter,&&&&&&&&&&&&,microscope,2,0,MAMMAL,TOOL
36,+,deer,&&&&&&&&&&&&,pheasant,2,0,MAMMAL,BIRD
37,+,submarine,&&&&&&&&&&&&,kayak,2,1,MAMMAL,VEHICLE
38,+,peach,&&&&&&&&&&&&,pear,2,1,MAMMAL,FRUIT
39,+,wheelbarrow,&&&&&&&&&&&&,ladder,2,1,MAMMAL,TOOL
40,+,owl,&&&&&&&&&&&&,flamingo,2,1,MAMMAL,BIRD
41,+,elephant,&&&&&&&&&&&&,knife,1,0,WEAPON,WEAPON
42,+,ambulance,&&&&&&&&&&&&,slingshot,1,0,WEAPON,WEAPON
43,+,pineapple,&&&&&&&&&&&&,cannon,1,0,WEAPON,WEAPON
44,+,pencil,&&&&&&&&&&&&,club,1,0,WEAPON,WEAPON
45,+,shotgun,&&&&&&&&&&&&,rifle,1,1,WEAPON,WEAPON
46,+,arrow,&&&&&&&&&&&&,bow,1,1,WEAPON,WEAPON
47,+,missile,&&&&&&&&&&&&,bomb,1,1,WEAPON,WEAPON
48,+,hatchet,&&&&&&&&&&&&,whip,1,1,WEAPON,WEAPON
49,+,shield,&&&&&&&&&&&&,gorilla,2,0,WEAPON,MAMMAL
50,+,switchblade,&&&&&&&&&&&&,limousine,2,0,WEAPON,VEHICLE
51,+,pistol,&&&&&&&&&&&&,papaya,2,0,WEAPON,FRUIT
52,+,harpoon,&&&&&&&&&&&&,calculator,2,0,WEAPON,TOOL
53,+,panda,&&&&&&&&&&&&,koala,2,1,WEAPON,MAMMAL
54,+,rollerblades,&&&&&&&&&&&&,wheelchair,2,1,WEAPON,VEHICLE
55,+,blueberry,&&&&&&&&&&&&,tomato,2,1,WEAPON,FRUIT
56,+,jack,&&&&&&&&&&&&,clamp,2,1,WEAPON,TOOL
57,+,sword,&&&&&&&&&&&&,celery,1,0,VEGETABLE,VEGETABLE
58,+,cat,&&&&&&&&&&&&,broccoli,1,0,VEGETABLE,VEGETABLE
59,+,airplane,&&&&&&&&&&&&,radish,1,0,VEGETABLE,VEGETABLE
60,+,raspberry,&&&&&&&&&&&&,potato,1,0,VEGETABLE,VEGETABLE
61,+,asparagus,&&&&&&&&&&&&,peas,1,1,VEGETABLE,VEGETABLE
62,+,garlic,&&&&&&&&&&&&,onions,1,1,VEGETABLE,VEGETABLE
63,+,cabbage,&&&&&&&&&&&&,lettuce,1,1,VEGETABLE,VEGETABLE
64,+,spinach,&&&&&&&&&&&&,pepper,1,1,VEGETABLE,VEGETABLE
65,+,artichoke,&&&&&&&&&&&&,armor,2,0,VEGETABLE,WEAPON
66,+,zucchini,&&&&&&&&&&&&,rat,2,0,VEGETABLE,MAMMAL
67,+,parsley,&&&&&&&&&&&&,barge,2,0,VEGETABLE,VEHICLE
68,+,shallots,&&&&&&&&&&&&,blackberry,2,0,VEGETABLE,FRUIT
69,+,taser,&&&&&&&&&&&&,mace,2,1,VEGETABLE,WEAPON
